,dateObserved,intensity,filled_intensity,hourOfDay,date,year,month_number,month,days_of_week
0,2023-01-03 13:40:00+00:00,166.0,166.0,13,2023-01-03,2023,1,January,Tuesday
1,2023-01-03 13:55:00+00:00,152.0,152.0,13,2023-01-03,2023,1,January,Tuesday
2,2023-01-03 14:10:00+00:00,183.0,183.0,14,2023-01-03,2023,1,January,Tuesday
3,2023-01-03 14:25:00+00:00,201.0,201.0,14,2023-01-03,2023,1,January,Tuesday
4,2023-01-03 14:40:00+00:00,233.0,233.0,14,2023-01-03,2023,1,January,Tuesday
5,2023-01-03 14:55:00+00:00,202.0,202.0,14,2023-01-03,2023,1,January,Tuesday
6,2023-01-03 15:10:00+00:00,215.0,215.0,15,2023-01-03,2023,1,January,Tuesday
7,2023-01-03 15:25:00+00:00,250.0,250.0,15,2023-01-03,2023,1,January,Tuesday
8,2023-01-03 15:40:00+00:00,211.0,211.0,15,2023-01-03,2023,1,January,Tuesday
9,2023-01-03 15:55:00+00:00,222.0,222.0,15,2023-01-03,2023,1,January,Tuesday
10,2023-01-03 16:10:00+00:00,225.0,225.0,16,2023-01-03,2023,1,January,Tuesday
11,2023-01-03 16:25:00+00:00,235.0,235.0,16,2023-01-03,2023,1,January,Tuesday
12,2023-01-03 16:40:00+00:00,175.0,175.0,16,2023-01-03,2023,1,January,Tuesday
13,2023-01-03 16:55:00+00:00,185.0,185.0,16,2023-01-03,2023,1,January,Tuesday
14,2023-01-03 17:10:00+00:00,153.0,153.0,17,2023-01-03,2023,1,January,Tuesday
15,2023-01-03 17:25:00+00:00,123.0,123.0,17,2023-01-03,2023,1,January,Tuesday
16,2023-01-03 17:40:00+00:00,116.0,116.0,17,2023-01-03,2023,1,January,Tuesday
17,2023-01-03 17:55:00+00:00,91.0,91.0,17,2023-01-03,2023,1,January,Tuesday
18,2023-01-03 18:10:00+00:00,65.0,65.0,18,2023-01-03,2023,1,January,Tuesday
19,2023-01-03 18:25:00+00:00,94.0,94.0,18,2023-01-03,2023,1,January,Tuesday
20,2023-01-03 18:40:00+00:00,52.0,52.0,18,2023-01-03,2023,1,January,Tuesday
21,2023-01-03 18:55:00+00:00,53.0,53.0,18,2023-01-03,2023,1,January,Tuesday
22,2023-01-03 19:10:00+00:00,53.0,53.0,19,2023-01-03,2023,1,January,Tuesday
23,2023-01-03 19:25:00+00:00,35.0,35.0,19,2023-01-03,2023,1,January,Tuesday
24,2023-01-03 19:40:00+00:00,31.0,31.0,19,2023-01-03,2023,1,January,Tuesday
25,2023-01-03 19:55:00+00:00,28.0,28.0,19,2023-01-03,2023,1,January,Tuesday
26,2023-01-03 20:10:00+00:00,24.0,24.0,20,2023-01-03,2023,1,January,Tuesday
27,2023-01-03 20:25:00+00:00,28.0,28.0,20,2023-01-03,2023,1,January,Tuesday
28,2023-01-03 20:40:00+00:00,19.0,19.0,20,2023-01-03,2023,1,January,Tuesday
29,2023-01-03 20:55:00+00:00,31.0,31.0,20,2023-01-03,2023,1,January,Tuesday
30,2023-01-03 21:10:00+00:00,26.0,26.0,21,2023-01-03,2023,1,January,Tuesday
31,2023-01-03 21:25:00+00:00,26.0,26.0,21,2023-01-03,2023,1,January,Tuesday
32,2023-01-03 21:40:00+00:00,20.0,20.0,21,2023-01-03,2023,1,January,Tuesday
33,2023-01-03 21:55:00+00:00,13.0,13.0,21,2023-01-03,2023,1,January,Tuesday
34,2023-01-03 22:10:00+00:00,8.0,8.0,22,2023-01-03,2023,1,January,Tuesday
35,2023-01-03 22:25:00+00:00,7.0,7.0,22,2023-01-03,2023,1,January,Tuesday
36,2023-01-03 22:40:00+00:00,7.0,7.0,22,2023-01-03,2023,1,January,Tuesday
37,2023-01-03 22:55:00+00:00,5.0,5.0,22,2023-01-03,2023,1,January,Tuesday
38,2023-01-03 23:10:00+00:00,5.0,5.0,23,2023-01-03,2023,1,January,Tuesday
39,2023-01-03 23:25:00+00:00,5.0,5.0,23,2023-01-03,2023,1,January,Tuesday
40,2023-01-03 23:40:00+00:00,4.0,4.0,23,2023-01-03,2023,1,January,Tuesday
41,2023-01-03 23:55:00+00:00,4.0,4.0,23,2023-01-03,2023,1,January,Tuesday
42,2023-01-04 00:10:00+00:00,3.0,3.0,0,2023-01-04,2023,1,January,Wednesday
43,2023-01-04 00:25:00+00:00,2.0,2.0,0,2023-01-04,2023,1,January,Wednesday
44,2023-01-04 00:40:00+00:00,,2.0,0,2023-01-04,2023,1,January,Wednesday
45,2023-01-04 00:55:00+00:00,1.0,1.0,0,2023-01-04,2023,1,January,Wednesday
46,2023-01-04 01:10:00+00:00,1.0,1.0,1,2023-01-04,2023,1,January,Wednesday
47,2023-01-04 01:25:00+00:00,4.0,4.0,1,2023-01-04,2023,1,January,Wednesday
48,2023-01-04 01:40:00+00:00,5.0,5.0,1,2023-01-04,2023,1,January,Wednesday
49,2023-01-04 01:55:00+00:00,,5.0,1,2023-01-04,2023,1,January,Wednesday
50,2023-01-04 02:10:00+00:00,,4.0,2,2023-01-04,2023,1,January,Wednesday
51,2023-01-04 02:25:00+00:00,,3.0,2,2023-01-04,2023,1,January,Wednesday
52,2023-01-04 02:40:00+00:00,2.0,2.0,2,2023-01-04,2023,1,January,Wednesday
53,2023-01-04 02:55:00+00:00,,2.0,2,2023-01-04,2023,1,January,Wednesday
54,2023-01-04 03:10:00+00:00,2.0,2.0,3,2023-01-04,2023,1,January,Wednesday
55,2023-01-04 03:25:00+00:00,2.0,2.0,3,2023-01-04,2023,1,January,Wednesday
56,2023-01-04 03:40:00+00:00,2.0,2.0,3,2023-01-04,2023,1,January,Wednesday
57,2023-01-04 03:55:00+00:00,1.0,1.0,3,2023-01-04,2023,1,January,Wednesday
58,2023-01-04 04:10:00+00:00,8.0,8.0,4,2023-01-04,2023,1,January,Wednesday
59,2023-01-04 04:25:00+00:00,7.0,7.0,4,2023-01-04,2023,1,January,Wednesday
60,2023-01-04 04:40:00+00:00,19.0,19.0,4,2023-01-04,2023,1,January,Wednesday
61,2023-01-04 04:55:00+00:00,12.0,12.0,4,2023-01-04,2023,1,January,Wednesday
62,2023-01-04 05:10:00+00:00,18.0,18.0,5,2023-01-04,2023,1,January,Wednesday
63,2023-01-04 05:25:00+00:00,29.0,29.0,5,2023-01-04,2023,1,January,Wednesday
64,2023-01-04 05:40:00+00:00,53.0,53.0,5,2023-01-04,2023,1,January,Wednesday
65,2023-01-04 05:55:00+00:00,53.0,53.0,5,2023-01-04,2023,1,January,Wednesday
66,2023-01-04 06:10:00+00:00,57.0,57.0,6,2023-01-04,2023,1,January,Wednesday
67,2023-01-04 06:25:00+00:00,63.0,63.0,6,2023-01-04,2023,1,January,Wednesday
68,2023-01-04 06:40:00+00:00,111.0,111.0,6,2023-01-04,2023,1,January,Wednesday
69,2023-01-04 06:55:00+00:00,72.0,72.0,6,2023-01-04,2023,1,January,Wednesday
70,2023-01-04 07:10:00+00:00,42.0,42.0,7,2023-01-04,2023,1,January,Wednesday
71,2023-01-04 07:25:00+00:00,72.0,72.0,7,2023-01-04,2023,1,January,Wednesday
72,2023-01-04 07:40:00+00:00,74.0,74.0,7,2023-01-04,2023,1,January,Wednesday
73,2023-01-04 07:55:00+00:00,87.0,87.0,7,2023-01-04,2023,1,January,Wednesday
74,2023-01-04 08:10:00+00:00,75.0,75.0,8,2023-01-04,2023,1,January,Wednesday
75,2023-01-04 08:25:00+00:00,77.0,77.0,8,2023-01-04,2023,1,January,Wednesday
76,2023-01-04 08:40:00+00:00,71.0,71.0,8,2023-01-04,2023,1,January,Wednesday
77,2023-01-04 08:55:00+00:00,93.0,93.0,8,2023-01-04,2023,1,January,Wednesday
78,2023-01-04 09:10:00+00:00,89.0,89.0,9,2023-01-04,2023,1,January,Wednesday
79,2023-01-04 09:25:00+00:00,121.0,121.0,9,2023-01-04,2023,1,January,Wednesday
80,2023-01-04 09:40:00+00:00,107.0,107.0,9,2023-01-04,2023,1,January,Wednesday
81,2023-01-04 09:55:00+00:00,117.0,117.0,9,2023-01-04,2023,1,January,Wednesday
82,2023-01-04 10:10:00+00:00,140.0,140.0,10,2023-01-04,2023,1,January,Wednesday
83,2023-01-04 10:25:00+00:00,121.0,121.0,10,2023-01-04,2023,1,January,Wednesday
84,2023-01-04 10:40:00+00:00,105.0,105.0,10,2023-01-04,2023,1,January,Wednesday
85,2023-01-04 10:55:00+00:00,117.0,117.0,10,2023-01-04,2023,1,January,Wednesday
86,2023-01-04 11:10:00+00:00,104.0,104.0,11,2023-01-04,2023,1,January,Wednesday
87,2023-01-04 11:25:00+00:00,105.0,105.0,11,2023-01-04,2023,1,January,Wednesday
